[2026-06-09T05:40:42.064Z] biography-spa-gen-nonfic.csv: genre=Biography, rows=150, rowLimitHit=yes, fileBookLimit=65, added=65, skippedByFileBookLimit=75, duplicates=5, digitalSkipped=0, missingTitle=0, missingAuthor=5, rejected=0, totalBooks=3064
[2026-06-09T05:40:42.065Z] drama-spa-gen-nonfic.csv: genre=Drama, rows=28, rowLimitHit=no, fileBookLimit=65, added=26, skippedByFileBookLimit=0, duplicates=2, digitalSkipped=0, missingTitle=0, missingAuthor=0, rejected=0, totalBooks=3090
[2026-06-09T05:40:42.067Z] fantasy-eng-ya-nonfic.csv: genre=Nonfiction, rows=150, rowLimitHit=yes, fileBookLimit=65, added=65, skippedByFileBookLimit=79, duplicates=11, digitalSkipped=0, missingTitle=0, missingAuthor=3, rejected=0, totalBooks=3155
[2026-06-09T05:40:42.069Z] historical-spa-ya-fic.csv: genre=Historical Fiction, rows=89, rowLimitHit=no, fileBookLimit=65, added=65, skippedByFileBookLimit=12, duplicates=26, digitalSkipped=0, missingTitle=0, missingAuthor=0, rejected=0, totalBooks=3220
[2026-06-09T05:40:42.069Z] crime-spa-ya-fic.csv: genre=Crime, rows=17, rowLimitHit=no, fileBookLimit=65, added=11, skippedByFileBookLimit=0, duplicates=9, digitalSkipped=0, missingTitle=0, missingAuthor=0, rejected=0, totalBooks=3231
[2026-06-09T05:40:42.070Z] biography-spa-ya-fic.csv: genre=Biography, rows=14, rowLimitHit=no, fileBookLimit=65, added=12, skippedByFileBookLimit=0, duplicates=3, digitalSkipped=0, missingTitle=0, missingAuthor=0, rejected=0, totalBooks=3243
[2026-06-09T05:40:42.071Z] drama-spa-ya-fic.csv: genre=Drama, rows=36, rowLimitHit=no, fileBookLimit=65, added=27, skippedByFileBookLimit=0, duplicates=11, digitalSkipped=0, missingTitle=0, missingAuthor=0, rejected=0, totalBooks=3270
[2026-06-09T05:40:42.072Z] fantasy-spa-gen-nonfic.csv: genre=Nonfiction, rows=16, rowLimitHit=no, fileBookLimit=65, added=9, skippedByFileBookLimit=0, duplicates=6, digitalSkipped=0, missingTitle=0, missingAuthor=1, rejected=0, totalBooks=3279
[2026-06-09T05:40:42.072Z] historical-spa-ya-nonfic.csv: genre=Historical Fiction, rows=24, rowLimitHit=no, fileBookLimit=65, added=22, skippedByFileBookLimit=0, duplicates=1, digitalSkipped=0, missingTitle=0, missingAuthor=1, rejected=0, totalBooks=3301
[2026-06-09T05:40:42.073Z] crime-spa-ya-nonfic.csv: genre=Crime, rows=3, rowLimitHit=no, fileBookLimit=65, added=3, skippedByFileBookLimit=0, duplicates=0, digitalSkipped=0, missingTitle=0, missingAuthor=0, rejected=0, totalBooks=3304
[2026-06-09T05:40:42.075Z] biography-spa-ya-nonfic.csv: genre=Biography, rows=150, rowLimitHit=yes, fileBookLimit=65, added=65, skippedByFileBookLimit=78, duplicates=5, digitalSkipped=0, missingTitle=0, missingAuthor=2, rejected=0, totalBooks=3369
[2026-06-09T05:40:42.075Z] drama-spa-ya-nonfic.csv: genre=Drama, rows=5, rowLimitHit=no, fileBookLimit=65, added=2, skippedByFileBookLimit=0, duplicates=3, digitalSkipped=0, missingTitle=0, missingAuthor=0, rejected=0, totalBooks=3371
[2026-06-09T05:40:42.075Z] fantasy-spa-ya-nonfic.csv: genre=Nonfiction, rows=14, rowLimitHit=no, fileBookLimit=65, added=9, skippedByFileBookLimit=0, duplicates=2, digitalSkipped=0, missingTitle=0, missingAuthor=3, rejected=0, totalBooks=3380
[2026-06-09T05:40:42.077Z] horror-eng-gen-nonfic.csv: genre=Nonfiction, rows=150, rowLimitHit=yes, fileBookLimit=65, added=65, skippedByFileBookLimit=63, duplicates=1, digitalSkipped=0, missingTitle=0, missingAuthor=21, rejected=0, totalBooks=3445
[2026-06-09T05:40:42.091Z] horror-eng-ya-nonfic.csv: genre=Nonfiction, rows=150, rowLimitHit=yes, fileBookLimit=65, added=65, skippedByFileBookLimit=70, duplicates=5, digitalSkipped=0, missingTitle=0, missingAuthor=10, rejected=0, totalBooks=3510
[2026-06-09T05:40:42.092Z] horror-spa-gen-nonfic.csv: genre=Nonfiction, rows=22, rowLimitHit=no, fileBookLimit=65, added=17, skippedByFileBookLimit=0, duplicates=5, digitalSkipped=0, missingTitle=0, missingAuthor=0, rejected=0, totalBooks=3527
[2026-06-09T05:40:42.092Z] horror-spa-ya-nonfic.csv: genre=Nonfiction, rows=3, rowLimitHit=no, fileBookLimit=65, added=3, skippedByFileBookLimit=0, duplicates=0, digitalSkipped=0, missingTitle=0, missingAuthor=0, rejected=0, totalBooks=3530
[2026-06-09T05:40:42.094Z] mystery-eng-gen-nonfic.csv: genre=Nonfiction, rows=150, rowLimitHit=yes, fileBookLimit=65, added=65, skippedByFileBookLimit=66, duplicates=0, digitalSkipped=0, missingTitle=0, missingAuthor=19, rejected=0, totalBooks=3595
[2026-06-09T05:40:42.096Z] mystery-eng-ya-nonfic.csv: genre=Nonfiction, rows=150, rowLimitHit=yes, fileBookLimit=65, added=65, skippedByFileBookLimit=82, duplicates=2, digitalSkipped=0, missingTitle=0, missingAuthor=1, rejected=0, totalBooks=3660
[2026-06-09T05:40:42.096Z] mystery-spa-gen-nonfic.csv: genre=Nonfiction, rows=23, rowLimitHit=no, fileBookLimit=65, added=19, skippedByFileBookLimit=0, duplicates=3, digitalSkipped=0, missingTitle=0, missingAuthor=1, rejected=0, totalBooks=3679
[2026-06-09T05:40:42.097Z] mystery-spa-ya-nonfic.csv: genre=Nonfiction, rows=13, rowLimitHit=no, fileBookLimit=65, added=11, skippedByFileBookLimit=0, duplicates=1, digitalSkipped=0, missingTitle=0, missingAuthor=1, rejected=0, totalBooks=3690
[2026-06-09T05:40:42.099Z] romance-eng-gen-nonfic.csv: genre=Nonfiction, rows=150, rowLimitHit=yes, fileBookLimit=65, added=65, skippedByFileBookLimit=67, duplicates=1, digitalSkipped=0, missingTitle=0, missingAuthor=17, rejected=0, totalBooks=3755
[2026-06-09T05:40:42.100Z] romance-eng-ya-nonfic.csv: genre=Nonfiction, rows=129, rowLimitHit=no, fileBookLimit=64, added=64, skippedByFileBookLimit=57, duplicates=9, digitalSkipped=0, missingTitle=0, missingAuthor=2, rejected=0, totalBooks=3819
[2026-06-09T05:40:42.101Z] romance-spa-gen-nonfic.csv: genre=Nonfiction, rows=18, rowLimitHit=no, fileBookLimit=64, added=13, skippedByFileBookLimit=0, duplicates=4, digitalSkipped=0, missingTitle=0, missingAuthor=1, rejected=0, totalBooks=3832
